SCH_ID,STU_ID,Profmath2,mathach,byses,usecalc,usecompu,urban,gender
1011,101101,1,39.94,-0.230000004,5,1,1,1
1011,101102,1,47.361,0.689999998,3,1,1,1
1011,101104,1,56.717,-0.680000007,3,1,1,1
1011,101106,0,24.673,-1.279999971,2,2,1,1
1011,101107,0,19.458,-0.930000007,2,1,1,0
1011,101108,1,37.965,0.360000014,3,1,1,0
1011,101109,1,56.465,-0.239999995,4,1,1,0
1011,101110,0,23.465,-0.850000024,5,2,1,0
1011,101111,1,31.589,-1.070000052,2,3,1,0
1011,101112,1,48.703,-0.100000001,5,5,1,0
1011,101113,1,34.063,0.159999996,5,5,1,1
1011,101114,0,23.202,-0.74000001,5,2,1,1
1011,101115,1,54.993,-0.579999983,4,4,1,0
1011,101116,1,59.408,0.879999995,5,1,1,0
1011,101117,0,17.533,0.239999995,2,2,1,0
1011,101118,0,16.11,0.079999998,2,2,1,1
1011,101119,1,49.36,-1.360000014,2,3,1,1
1011,101120,0,27.544,-0.730000019,3,2,1,0
1011,101121,1,47.576,1.289999962,3,1,1,1
1011,101122,1,31.443,-0.49000001,1,1,1,0
1011,101123,1,33.751,-0.839999974,2,3,1,0
1011,101124,1,35.035,-0.600000024,4,2,1,0
1011,101126,1,56.609,-0.670000017,2,1,1,1
1011,101127,1,42.173,-0.050000001,5,4,1,1
1011,101128,1,40.39,-0.889999986,4,5,1,0
1011,101129,1,61.158,-0.150000006,5,1,1,0
1011,101131,1,49.751,0.670000017,3,1,1,0
1011,101132,1,33.435,-0.239999995,4,2,1,0
1011,101133,0,23.543,-1.289999962,5,1,1,0
1012,101201,0,29.532,-0.400000006,5,1,1,0
1012,101203,1,36.786,0.170000002,4,4,1,0
1012,101207,1,46.499,-0.469999999,5,1,1,0
1012,101209,1,32.578,-0.689999998,4,2,1,0
1012,101210,1,55.715,0.569999993,5,1,1,0
1012,101211,1,45.658,0.100000001,5,2,1,1
1012,101212,1,34.73,-0.07,5,1,1,0
1012,101214,0,28.233,-0.519999981,5,1,1,1
1012,101215,1,42.738,-0.360000014,5,1,1,0
1012,101217,0,20.918,-0.660000026,4,4,1,1
1012,101219,0,18.312,0.25,5,2,1,1
1012,101221,1,49.773,-0.839999974,5,1,1,1
1012,101226,1,39.908,1.309999943,5,2,1,0
1021,102101,1,33.487,-0.819999993,5,1,1,0
1021,102103,0,19.243,0.029999999,4,1,1,1
1021,102105,0,21.837,-1.169999957,5,2,1,0
1021,102106,0,20.08,0,5,1,1,1
1021,102107,0,19.51,-1.370000005,3,1,1,0
1021,102108,0,26.227,-0.949999988,3,3,1,0
1021,102109,0,17.944,-0.529999971,3,4,1,1
1021,102112,0,18.394,0.379999995,3,2,1,0
1021,102113,1,37.71,-0.200000003,4,1,1,0
1021,102116,0,16.048,-0.769999981,5,4,1,0
1021,102117,1,32.855,-0.189999998,1,1,1,0
1021,102118,0,18.279,-0.449999988,2,1,1,0
1021,102120,0,18.026,0.589999974,2,5,1,1
1021,102122,0,23.401,0.079999998,5,1,1,1
1022,102201,0,31.11,-1.029999971,5,1,1,0
1022,102203,0,24.656,-0.540000021,5,5,1,1
1022,102204,1,55.327,0.119999997,5,1,1,1
1022,102205,0,30.103,0.239999995,5,4,1,0
1022,102206,0,21.158,-0.629999995,3,1,1,0
1022,102207,0,25.95,-1.129999995,5,5,1,0
1022,102208,1,43.606,0.370000005,4,4,1,0
1022,102209,1,43.155,0.239999995,5,5,1,0
1022,102211,0,27.49,0.50999999,5,4,1,1
1022,102212,0,15.462,0.75,2,2,1,1
1022,102213,1,41.274,0.50999999,5,2,1,0
1022,102214,0,27.25,-0.829999983,5,4,1,0
1022,102215,1,51.824,0.610000014,5,1,1,0
1022,102216,1,40.249,0.270000011,5,1,1,1
1022,102217,0,29.691,0.670000017,5,1,1,1
1022,102218,0,22.045,1.159999967,5,3,1,0
1022,102219,1,50.035,-1.200000048,5,2,1,0
1022,102220,0,19.832,-1.090000033,4,4,1,0
1022,102221,1,35.782,-0.25999999,5,5,1,0
1022,102222,0,20.856,-0.07,5,5,1,1
1022,102223,1,37.108,1.24000001,5,2,1,1
1022,102224,1,44.771,0.699999988,5,5,1,0
1022,102226,1,41.57,-0.75,4,1,1,0
1022,102227,0,17.06,0.449999988,4,4,1,0
1022,102228,0,17.635,-0.319999993,4,2,1,1
1022,102232,1,49.075,0.300000012,5,2,1,1
1022,102233,1,30.929,-0.829999983,5,1,1,1
1022,102234,0,23.902,-0.540000021,4,2,1,1
1022,102235,1,50.035,-0.330000013,5,1,1,0
1031,103101,1,47.263,1.159999967,5,1,1,1
1031,103103,0,25.614,0.180000007,5,5,1,0
1031,103104,1,44.23,0.029999999,5,3,1,1
1031,103107,0,28.604,0.419999987,5,4,1,0
1031,103108,1,41.246,0.829999983,5,2,1,0
1031,103109,1,35.523,0.769999981,5,1,1,1
1031,103110,1,52.807,0.170000002,4,1,1,1
1031,103111,1,42.283,-0.600000024,5,2,1,1
1031,103112,1,35.643,-0.689999998,4,4,1,0
1031,103115,0,27.592,-1.049999952,5,1,1,1
1031,103116,1,40.397,0.129999995,4,4,1,1
1031,103117,0,13.017,-0.980000019,5,4,1,0
1031,103118,1,42.148,-0.689999998,5,2,1,1
1031,103119,0,25.656,-0.779999971,5,4,1,0
1031,103122,0,30.639,0.289999992,5,1,1,1
1031,103124,0,18.708,-1.070000052,5,5,1,1
1031,103125,0,18.264,-0.620000005,5,4,1,1
1031,103127,1,51.021,0.75,4,1,1,0
1031,103128,0,20.177,-0.810000002,5,4,1,0
1031,103129,1,40.354,-0.039999999,5,2,1,0
1032,103203,0,30.284,-1.450000048,5,2,1,1
1032,103204,0,25.895,-0.569999993,5,1,1,1
1032,103205,1,43.537,-0.02,4,1,1,1
1032,103210,0,24.939,-0.349999994,3,2,1,1
1032,103212,0,16.368,-1.210000038,4,5,1,1
1032,103214,0,21.764,-0.150000006,5,2,1,0
1032,103215,1,43.133,-0.730000019,5,2,1,0
1032,103218,0,21.78,-0.879999995,4,1,1,0
1032,103219,0,21.778,-0.340000004,5,2,1,1
1032,103221,1,32.799,0.400000006,4,1,1,1
1032,103223,0,22.46,-0.01,1,1,1,0
1032,103225,1,46.546,0.639999986,5,1,1,0
1032,103226,0,28.58,-1.179999948,4,1,1,1
1032,103231,1,33.685,-0.189999998,5,4,1,0
1033,103301,0,24.803,-0.850000024,4,2,1,0
1033,103302,0,27.763,-1.720000029,1,1,1,0
1033,103303,1,30.779,-0.109999999,4,2,1,0
1033,103304,1,32.342,0.479999989,5,1,1,1
1033,103305,1,35.809,-0.930000007,3,3,1,1
1033,103306,1,37.333,-0.860000014,3,1,1,0
1033,103307,0,27.236,-0.529999971,5,2,1,0
1033,103308,1,51.297,0.540000021,5,1,1,1
1033,103309,1,41.242,-0.560000002,4,2,1,1
1033,103310,0,22.027,-0.850000024,5,5,1,0
1033,103312,1,37.545,1.070000052,4,1,1,1
1033,103313,1,42.845,-0.409999996,2,2,1,1
1033,103314,1,45.193,-1.549999952,1,1,1,1
1033,103315,0,24.631,-0.579999983,5,1,1,1
1033,103316,1,44.718,-0.600000024,5,1,1,1
1033,103317,1,59.176,-0.920000017,4,1,1,0
1033,103318,1,42.823,1.220000029,4,1,1,1
1033,103319,0,26.154,-1.179999948,4,4,1,0
1033,103320,1,32.908,-0.959999979,5,1,1,1
1033,103321,0,27.32,-0.200000003,5,3,1,1
1033,103322,1,35.698,-0.389999986,1,1,1,1
1033,103323,1,39.852,-1.169999957,2,1,1,0
1033,103324,0,22.373,0.239999995,1,1,1,0
1041,104101,1,44.482,0.75999999,5,1,0,1
1041,104104,1,43.928,1.980000019,5,3,0,1
1041,104105,1,46.367,0.180000007,4,5,0,0
1041,104106,0,21.03,-0.319999993,2,2,0,1
1041,104107,1,47.835,0.360000014,5,1,0,0
1041,104109,0,15.664,-1.049999952,4,3,0,0
1041,104110,1,47.461,0.899999976,2,3,0,0
1041,104111,1,51.538,0.219999999,5,1,0,0
1041,104115,1,31.29,0.039999999,5,1,0,0
1041,104116,0,28.247,-0.119999997,4,2,0,0
1041,104117,1,56.626,1.210000038,5,1,0,1
1041,104118,1,37.742,0.779999971,5,3,0,0
1041,104119,1,34.931,0.730000019,2,2,0,0
1041,104122,0,22.425,1.529999971,5,1,0,0
1041,104123,0,24.856,0.649999976,5,4,0,1
1042,104201,1,45.077,1.00999999,5,1,0,0
1042,104202,1,45.766,0.610000014,4,2,0,0
1042,104203,1,50.777,0.529999971,5,5,0,0
1042,104204,1,53.497,1.24000001,4,3,0,1
1042,104207,1,32.692,-0.029999999,5,3,0,1
1042,104208,1,52.748,0.730000019,5,2,0,0
1042,104209,1,48.152,0.74000001,5,2,0,1
1042,104211,1,44.232,0.600000024,5,1,0,1
1042,104212,0,27.682,-0.75,5,1,0,1
1042,104213,1,54.442,-0.460000008,5,1,0,0
1042,104214,1,51.917,-0.100000001,5,2,0,1
1042,104215,0,29.208,-0.25,5,1,0,0
1042,104216,1,38.501,1.24000001,4,1,0,0
1042,104218,1,38.651,-0.25999999,5,1,0,1
1042,104220,1,43.923,0.75999999,5,2,0,1
1042,104222,1,50.829,1.24000001,5,1,0,0
1042,104224,1,33.783,0.720000029,5,1,0,0
1042,104225,1,49.309,0.209999993,5,1,0,0
1042,104231,1,46.422,-0.409999996,2,2,0,1
