age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
33,working class,27225,graduate,20,IAP,favor,pretty happy,more or less,male,2,IAP,1,3,0,0,1,
27,middle class,163843.84698,bachelor,16,IAP,favor,pretty happy,satisfied,male,0,IAP,0,3,0,0,1,
58,working class,39930,bachelor,16,IAP,favor,pretty happy,not at all sat,female,9,IAP,1,3,1,1,1,
66,lower class,1452,high school,12,agree,favor,pretty happy,not at all sat,male,3,2,0,2,0,0,0,0
89 or older,middle class,IAP,high school,12,IAP,favor,pretty happy,more or less,female,3,IAP,0,4,1,0,1,
29,working class,49005,junior college,14,IAP,favor,pretty happy,not at all sat,female,2,IAP,1,2,1,1,0,
89 or older,middle class,9982.5,lt high school,8,agree,favor,pretty happy,not at all sat,female,11,5,0,2,1,0,0,0
78,working class,23595,high school,12,IAP,favor,pretty happy,satisfied,female,1,IAP,0,3,1,0,1,
52,working class,8167.5,high school,12,disagree,favor,not too happy,more or less,female,6,4,0,2,1,0,0,2
50,working class,9982.5,high school,11,agree,oppose,pretty happy,more or less,male,1,2,0,2,0,0,0,0
25,working class,27225,bachelor,16,IAP,oppose,very happy,satisfied,female,1,IAP,0,3,1,1,1,
37,middle class,101640,bachelor,16,disagree,favor,pretty happy,satisfied,male,3,0,1,2,0,1,0,3
54,working class,IAP,bachelor,16,IAP,favor,very happy,not at all sat,female,2,IAP,1,4,1,0,1,
52,working class,IAP,junior college,14,strongly agree,favor,pretty happy,not at all sat,male,6,0,1,3,0,1,1,
29,working class,363,bachelor,17,IAP,favor,pretty happy,more or less,female,1,IAP,0,3,1,1,1,
75,middle class,87120,bachelor,19,IAP,favor,very happy,not at all sat,female,1,IAP,0,3,1,1,1,
81,middle class,59895,high school,13,IAP,favor,very happy,more or less,male,0,IAP,0,3,0,1,1,
55,middle class,163843.84698,graduate,18,disagree,favor,very happy,more or less,female,4,1,1,4,1,1,1,1
52,working class,59895,high school,15,IAP,favor,very happy,more or less,female,9,IAP,0,4,1,0,1,
33,working class,IAP,bachelor,16,IAP,favor,pretty happy,not at all sat,female,3,IAP,0,4,1,0,1,
56,middle class,163843.84698,high school,12,agree,favor,pretty happy,more or less,male,1,2,1,2,0,0,0,2
49,middle class,101640,high school,12,strongly agree,favor,very happy,satisfied,female,2,3,1,4,1,1,1,0
26,middle class,163843.84698,bachelor,16,IAP,favor,very happy,satisfied,male,1,IAP,1,3,0,0,1,
36,working class,87120,graduate,20,disagree,favor,pretty happy,not at all sat,male,1,2,1,3,0,1,1,1
27,working class,49005,junior college,16,strongly agree,favor,pretty happy,not at all sat,female,6,2,1,4,1,0,1,1
60,upper class,9982.5,high school,14,IAP,favor,pretty happy,not at all sat,female,5,IAP,0,3,1,0,1,
48,working class,39930,high school,12,disagree,favor,very happy,more or less,male,1,4,1,1,0,0,0,0
47,working class,39930,high school,12,IAP,favor,not too happy,more or less,female,8,IAP,1,1,1,1,0,
36,working class,IAP,junior college,14,agree,favor,pretty happy,more or less,female,5,3,1,3,1,0,1,1
64,working class,9982.5,high school,12,IAP,favor,not too happy,more or less,female,6,IAP,0,2,1,0,0,
38,middle class,116160,bachelor,16,strongly agree,favor,very happy,more or less,female,4,2,1,4,1,0,1,1
62,working class,49005,high school,12,IAP,favor,pretty happy,more or less,male,3,IAP,0,3,0,0,1,
62,working class,72600,bachelor,16,agree,oppose,very happy,not at all sat,female,1,2,0,1,1,1,0,0
65,middle class,IAP,junior college,14,IAP,favor,very happy,more or less,female,2,IAP,0,3,1,1,1,
60,middle class,IAP,high school,14,agree,favor,pretty happy,not at all sat,male,3,2,1,2,0,1,0,0
47,working class,1452,bachelor,16,IAP,favor,pretty happy,not at all sat,female,1,IAP,0,3,1,0,1,
43,upper class,163843.84698,bachelor,16,IAP,favor,pretty happy,more or less,female,2,IAP,0,3,1,1,1,
30,middle class,27225,bachelor,16,strongly agree,oppose,pretty happy,more or less,male,1,3,1,3,0,0,1,2
39,middle class,163843.84698,graduate,18,IAP,favor,pretty happy,satisfied,male,1,IAP,1,4,0,1,1,
